Class	Architecture	Topology
:Alpha_Beta	:2-Layer_Sandwich	:Uridine_Diphospho-n-acetylenolpyruvylglucosamine_Reductase;_domain_3
:Mainly_Alpha	:Up-down_Bundle	:Glutathione_S-transferase_Yfyf_(Class_Pi);_Chain_A,_domain_2
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant,_subunit_A
:Alpha_Beta	:2-Layer_Sandwich	:SIR2/SIRT2_'Small_Domain'
:Mainly_Beta	:Beta_Complex	:Ferric_Hydroxamate_Uptake_Protein;_Chain_A,_domain_1
:Mainly_Beta	:Beta_Barrel	:Elongation_Factor_Tu_(Ef-tu);_domain_3
:Alpha_Beta	:2-Layer_Sandwich	:Uridine_Diphospho-n-acetylenolpyruvylglucosamine_Reductase;_domain_3
:Mainly_Beta	:Roll	:Pdz3_Domain
:Mainly_Alpha	:Orthogonal_Bundle	:Apoptosis_Regulator_Bcl-x
:Mainly_Beta	:Sandwich	:Jelly_Rolls
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Lysozyme-like
:Mainly_Beta	:Trefoil	:Trefoil_(Acidic_Fibroblast_Growth_Factor,_subunit_A)
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Aminopeptidase
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Udp-n-acetylmuramoylalanyl-d-glutamate--2,6-_Diaminopimelate_Ligase;_Chain:_A,_domain_1
:Mainly_Beta	:Beta_Barrel	:Thrombin,_subunit_H
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:2-Layer_Sandwich	:D-Amino_Acid_Oxidase;_Chain_A,_domain_2
:Mainly_Beta	:Single_Sheet	:q64v53_bacfr_protein_fold
:Alpha_Beta	:4-Layer_Sandwich	:Nitrilase/N-carbamoyl-D-aminoacid_amidohydrolase
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Orthogonal_Bundle	:Tetracycline_Repressor;_domain_2
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Mainly_Alpha	:Up-down_Bundle	:Four_Helix_Bundle_(Hemerythrin_(Met),_subunit_A)
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Aspartate_Aminotransferase;_domain_2
:Alpha_Beta	:2-Layer_Sandwich	:Double_Stranded_RNA_Binding_Domain
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Mainly_Beta	:Roll	:SH3_type_barrels.
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Dna_Topoisomerase_Vi_A_Subunit;_Chain:_A,_domain_2
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Orthogonal_Bundle	:Endonuclease_Iii,_domain_2
:Mainly_Beta	:Ribbon	:Seminal_Fluid_Protein_PDC-109_(Domain_B)
:Mainly_Alpha	:Orthogonal_Bundle	:Globin-like
:Alpha_Beta	:Alpha-Beta_Complex	:Creatine_Amidinohydrolase
:Mainly_Alpha	:Up-down_Bundle	:Calcium-transporting_ATPase,_transmembrane_domain
:Mainly_Alpha	:Up-down_Bundle	:Methane_Monooxygenase_Hydroxylase;_Chain_G,_domain_1
:Alpha_Beta	:Roll	:Membrane-bound_Lytic_Murein_Transglycosylase_D;_Chain_A
:Mainly_Alpha	:Orthogonal_Bundle	:eoxyguanosinetriphosphate_triphosphohydrolase_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:Alpha-Beta_Complex	:CBS_domain_Like
:Mainly_Alpha	:Up-down_Bundle	:Rhopdopsin_7-helix_transmembrane_proteins
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Aminopeptidase
:Mainly_Beta	:Ribbon	:Complement_Module;_domain_1
:Mainly_Alpha	:Orthogonal_Bundle	:434_Repressor_(Amino-terminal_Domain)
:Alpha_Beta	:3-Layer(bba)_Sandwich	:FAD/NAD(P)-binding_domain
:Mainly_Beta	:Sandwich	:Jelly_Rolls
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Alpha_Beta	:3-Layer(aba)_Sandwich	:D-Maltodextrin-Binding_Protein;_domain_2
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Alpha_Beta	:2-Layer_Sandwich	:Muramoyl-pentapeptide_Carboxypeptidase;_domain_2
:Mainly_Alpha	:Orthogonal_Bundle	:Phosphatidylinositol_3-kinase;_Chain_A
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Mainly_Beta	:Sandwich	:Jelly_Rolls
:Mainly_Beta	:Roll	:Spermidine_Synthase;_Chain:_A,_domain_2
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Alpha_Beta	:Alpha-Beta_Complex	:2-enoyl-CoA_Hydratase;_Chain_A,_domain_1
:Mainly_Beta	:Beta_Barrel	:Porin
:Alpha_Beta	:Roll	:2,3-Dihydroxybiphenyl_1,2-Dioxygenase;_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant,_subunit_A
:Alpha_Beta	:4-Layer_Sandwich	:Phosphatase_2c;_domain_1
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Mainly_Alpha	:Orthogonal_Bundle	:Histone,_subunit_A
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Mainly_Alpha	:Alpha_Horseshoe	:Serine_Threonine_Protein_Phosphatase_5,_Tetratricopeptide_repeat
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Alpha_Beta	:2-Layer_Sandwich	:Gyrase_A;_domain_2
:Mainly_Alpha	:Up-down_Bundle	:Nitrogenase_Molybdenum-iron_Protein,_subunit_B;_domain_4
:Alpha_Beta	:2-Layer_Sandwich	:Ribosomal_Protein_S5;_domain_2
:Mainly_Alpha	:Orthogonal_Bundle	:DNA_polymerase;_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Adenylosuccinate_Synthetase;_Chain_A,_domain_1
:Alpha_Beta	:2-Layer_Sandwich	:Ribosomal_Protein_S5;_domain_2
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Alpha_Beta	:2-Layer_Sandwich	:Antithrombin;_Chain_I,_domain_2
:Mainly_Alpha	:Orthogonal_Bundle	:Globin-like
:Mainly_Alpha	:Orthogonal_Bundle	:PutA_proline_dehydrogenase_(PRODH),_domain_2
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Aspartate_Aminotransferase;_domain_2
:Mainly_Beta	:Beta_Barrel	:Porin
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Mainly_Beta	:Beta_Complex	:baseplate_structural_protein_gp8,_domain_2
:Mainly_Beta	:Single_Sheet	:N-terminal_domain_of_TfIIb
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Replication_Protein_E1;_Chain:_A,
:Alpha_Beta	:2-Layer_Sandwich	:60s_Ribosomal_Protein_L30;_Chain:_A;
:Mainly_Beta	:Ribbon	:Leishmanolysin;_domain_3
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant,_subunit_A
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Mainly_Beta	:3_Solenoid	:Pectate_Lyase_C-like
:Mainly_Alpha	:Up-down_Bundle	:Methane_Monooxygenase_Hydroxylase;_Chain_G,_domain_1
:Alpha_Beta	:2-Layer_Sandwich	:Enolase-like;_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant,_subunit_A
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Alpha_Beta	:2-Layer_Sandwich	:Hypothetical_Protein_Tm841;_Chain:_A;domain_3
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Beta_Barrel	:Green_Fluorescent_Protein
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Alpha_Beta	:Alpha-Beta_Complex	:CBS_domain_Like
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Alpha_Beta	:Alpha-Beta_Complex	:Cytochrome_C3
:Alpha_Beta	:3-Layer(aba)_Sandwich	:NADH_Oxidase
:Mainly_Alpha	:Orthogonal_Bundle	:Diphtheria_Toxin_Repressor;_domain_2
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Alpha_Beta	:2-Layer_Sandwich	:Beta-Lactamase
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Aminopeptidase
:Mainly_Alpha	:Orthogonal_Bundle	:HP0242-like_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:2-Layer_Sandwich	:Pseudouridine_synthase
:Alpha_Beta	:2-Layer_Sandwich	:Beta-Lactamase
:Mainly_Beta	:Ribbon	:Tumor_Necrosis_Factor_Receptor,_subunit_A;_domain_2
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Orthogonal_Bundle	:Helix_Hairpins
:Mainly_Beta	:6_Propeller	:Neuraminidase
:Mainly_Alpha	:Up-down_Bundle	:Ferritin
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant,_subunit_A
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Cobalt-precorrin-4_Transmethylase;_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:Alpha-Beta_Complex	:Protein-Tyrosine_Phosphatase;_Chain_A
:Alpha_Beta	:3-Layer(aba)_Sandwich	:MutS,_DNA_mismatch_repair_protein,_domain_I
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Glutaredoxin
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Orthogonal_Bundle	:DNA_polymerase;_domain_1
:Mainly_Alpha	:Alpha_Horseshoe	:Serine_Threonine_Protein_Phosphatase_5,_Tetratricopeptide_repeat
:Mainly_Alpha	:Up-down_Bundle	:Substrate_Binding_Domain_Of_Dnak;_Chain:A;_Domain_2
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Aminopeptidase
:Mainly_Alpha	:Up-down_Bundle	:Ferritin
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Alpha_Beta	:2-Layer_Sandwich	:BirA_Bifunctional_Protein;_domain_2
:Mainly_Alpha	:Orthogonal_Bundle	:Neutral_Protease;_domain_2
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Alpha_Beta	:2-Layer_Sandwich	:D-amino_Acid_Aminotransferase;_Chain_A,_domain_1
:Mainly_Beta	:Sandwich	:Jelly_Rolls
:Alpha_Beta	:2-Layer_Sandwich	:BirA_Bifunctional_Protein;_domain_2
:Alpha_Beta	:2-Layer_Sandwich	:Threonyl-tRNA_Synthetase;_Chain_A,_domain_2
:Mainly_Alpha	:Up-down_Bundle	:Zinc_Finger,_Delta_Prime;_domain_3
:Alpha_Beta	:2-Layer_Sandwich	:Beta-Lactamase
:Mainly_Alpha	:Orthogonal_Bundle	:Death_Domain,_Fas
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:2-Layer_Sandwich	:D-Amino_Acid_Oxidase;_Chain_A,_domain_2
:Alpha_Beta	:2-Layer_Sandwich	:Defensin_A-like
:Mainly_Beta	:Ribbon	:Cysteine_Rich_Protein
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:Roll	:2,3-Dihydroxybiphenyl_1,2-Dioxygenase;_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Alpha_Beta	:Alpha-Beta_Complex	:Aspartate_Aminotransferase,_domain_1
:Mainly_Alpha	:Up-down_Bundle	:Four_Helix_Bundle_(Hemerythrin_(Met),_subunit_A)
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Severin
:Alpha_Beta	:2-Layer_Sandwich	:Ribosomal_Protein_S8;_Chain:_A,_domain_1
:Alpha_Beta	:2-Layer_Sandwich	:Creatine_Kinase;_Chain_A,_domain_2
:Mainly_Alpha	:Orthogonal_Bundle	:Helix_Hairpins
:Mainly_Alpha	:Orthogonal_Bundle	:Helix_Hairpins
:Alpha_Beta	:Roll	:Mannose-Binding_Protein_A;_Chain_A
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Glutaredoxin
:Mainly_Alpha	:Up-down_Bundle	:Methane_Monooxygenase_Hydroxylase;_Chain_G,_domain_1
:Mainly_Beta	:Sandwich	:Jelly_Rolls
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Restriction_Endonuclease
:Alpha_Beta	:Roll	:Ribosomal_Protein_L31e;_Chain:_W;
:Mainly_Alpha	:Up-down_Bundle	:Single_alpha-helices_involved_in_coiled-coils_or_other_helix-helix_interfaces
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Beta_Barrel	:Elongation_Factor_Tu_(Ef-tu);_domain_3
:Mainly_Alpha	:Up-down_Bundle	:Single_alpha-helices_involved_in_coiled-coils_or_other_helix-helix_interfaces
:Mainly_Alpha	:Up-down_Bundle	:Rhopdopsin_7-helix_transmembrane_proteins
:Alpha_Beta	:2-Layer_Sandwich	:Dna_Ligase;_domain_1
:Alpha_Beta	:2-Layer_Sandwich	:Zincin-like
:Alpha_Beta	:4-Layer_Sandwich	:Glutamine_Phosphoribosylpyrophosphate,_subunit_1,_domain_1
:Mainly_Beta	:Beta_Barrel	:Thrombin,_subunit_H
:Alpha_Beta	:3-Layer(bba)_Sandwich	:Glucose_Oxidase;_domain_1
:Alpha_Beta	:2-Layer_Sandwich	:Ribosomal_protein_S3_C-terminal_domain
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Mainly_Alpha	:Up-down_Bundle	:Four_Helix_Bundle_(Hemerythrin_(Met),_subunit_A)
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:UDP-N-acetylmuramoyl-L-alanine:D-glutamate_ligase
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Chemotaxis_protein_chec
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:2-Layer_Sandwich	:Signal_recognition_particle_alu_RNA_binding_heterodimer,_srp9/1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Creatine_Amidinohydrolase;_Chain_A,_domain_1
:Mainly_Alpha	:Orthogonal_Bundle	:DNA_polymerase;_domain_1
:Alpha_Beta	:Alpha-Beta_Complex	:Outer_Surface_Protein_A;_domain_3
:Mainly_Alpha	:Up-down_Bundle	:Vanadium-containing_Chloroperoxidase;_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Alpha_Beta	:Alpha-Beta_Complex	:Aminoglycoside_3'-phosphotransferase;_Chain:_A,_domain_2
:Mainly_Alpha	:Orthogonal_Bundle	:Cytochrome-c3_Hydrogenase;_chain_B
:Mainly_Alpha	:Orthogonal_Bundle	:GTP_Cyclohydrolase_I;_Chain_A,_domain_1
:Mainly_Alpha	:Orthogonal_Bundle	:Tetracycline_Repressor;_domain_2
:Mainly_Alpha	:Orthogonal_Bundle	:434_Repressor_(Amino-terminal_Domain)
:Alpha_Beta	:2-Layer_Sandwich	:Dodecin_subunit-like
:Mainly_Beta	:Sandwich	:Hemocyanin;_Chain:_A,_domain_2
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Mainly_Alpha	:Up-down_Bundle	:Influenza_Virus_Matrix_Protein;_Chain_A,_domain_1
:Alpha_Beta	:Roll	:Bacterial_Protein-export_protein_SecB
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant,_subunit_A
:Alpha_Beta	:2-Layer_Sandwich	:Nucleotidyltransferase;_domain_5
:Alpha_Beta	:Alpha-Beta_Complex	:Aspartate_Aminotransferase,_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Alkaline_Phosphatase,_subunit_A
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:Roll	:Ubiquitin-like_(UB_roll)
:Alpha_Beta	:2-Layer_Sandwich	:Enolase-like;_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:2-Layer_Sandwich	:Ribosomal_Protein_S5;_domain_2
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-D-Glucose-1,6-Bisphosphate;_Chain_A,_domain_4
:Mainly_Alpha	:Orthogonal_Bundle	:Helicase,_Ruva_Protein;_domain_3
:Mainly_Alpha	:Orthogonal_Bundle	:Endonuclease_III;_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Beta_Complex	:Ferric_Hydroxamate_Uptake_Protein;_Chain_A,_domain_1
:Alpha_Beta	:Alpha-Beta_Complex	:Aminoglycoside_3'-phosphotransferase;_Chain:_A,_domain_2
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Up-down_Bundle	:Four_Helix_Bundle_(Hemerythrin_(Met),_subunit_A)
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Sandwich	:Jelly_Rolls
:Mainly_Alpha	:Up-down_Bundle	:Four_Helix_Bundle_(Hemerythrin_(Met),_subunit_A)
:Mainly_Alpha	:Orthogonal_Bundle	:GROEL;_domain_1
:Alpha_Beta	:2-Layer_Sandwich	:polyphosphate_kinase_like
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Mainly_Beta	:Roll	:SH3_type_barrels.
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Dihydrofolate_Reductase,_subunit_A
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant,_subunit_A
:Alpha_Beta	:2-Layer_Sandwich	:Herpes_Virus-1
:Alpha_Beta	:2-Layer_Sandwich	:Dna_Ligase;_domain_1
:Alpha_Beta	:2-Layer_Sandwich	:Nucleotidyltransferase;_domain_5
:Mainly_Alpha	:Alpha_Horseshoe	:Serine_Threonine_Protein_Phosphatase_5,_Tetratricopeptide_repeat
:Mainly_Beta	:Beta_Barrel	:Thrombin,_subunit_H
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:D-Maltodextrin-Binding_Protein;_domain_2
:Mainly_Alpha	:Alpha_Horseshoe	:Serine_Threonine_Protein_Phosphatase_5,_Tetratricopeptide_repeat
:Mainly_Alpha	:Orthogonal_Bundle	:Hypothetical_protein_af1432
:Alpha_Beta	:2-Layer_Sandwich	:Wheat_Germ_Agglutinin_(Isolectin_2);_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:Roll	:Nuclear_Transport_Factor_2;_Chain:_A,
:Alpha_Beta	:2-Layer_Sandwich	:Dna_Ligase;_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Glutaredoxin
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Mainly_Alpha	:Orthogonal_Bundle	:Helicase,_Ruva_Protein;_domain_3
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Aminopeptidase
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant,_subunit_A
:Mainly_Beta	:Distorted_Sandwich	:Beta-galactosidase;_Chain_A,_domain_5
:Alpha_Beta	:2-Layer_Sandwich	:Yope_Regulator;_Chain:_A,
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Alpha_Beta	:2-Layer_Sandwich	:D-amino_Acid_Aminotransferase;_Chain_A,_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:D-Maltodextrin-Binding_Protein;_domain_2
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Mainly_Alpha	:Orthogonal_Bundle	:DNA_polymerase;_domain_1
:Mainly_Alpha	:Orthogonal_Bundle	:Penicillin_Amidohydrolase;_domain_1
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Mainly_Beta	:Beta_Barrel	:OB_fold_(Dihydrolipoamide_Acetyltransferase,_E2P)
:Alpha_Beta	:2-Layer_Sandwich	:Hypothetical_Protein_Tm841;_Chain:_A;domain_3
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Glutaredoxin
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Mainly_Alpha	:Up-down_Bundle	:Single_alpha-helices_involved_in_coiled-coils_or_other_helix-helix_interfaces
:Mainly_Beta	:Beta_Complex	:Endonuclease_-_Pi-scei;_Chain_A,_domain_1
:Mainly_Beta	:Beta_Barrel	:Catalase_HpII,_Chain_A,_domain_1
:Mainly_Alpha	:Orthogonal_Bundle	:Cyclin_A;_domain_1
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:2-Layer_Sandwich	:Potassium_Channel_Kv1.1;_Chain_A
:Alpha_Beta	:3-Layer(aba)_Sandwich	:UDP-N-acetylmuramoyl-L-alanine:D-glutamate_ligase
:Mainly_Beta	:Roll	:Urease,_subunit_C;_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Up-down_Bundle	:de_novo_design_(two_linked_rop_proteins)
:Mainly_Alpha	:Orthogonal_Bundle	:Ribonucleotide_Reductase_Protein_R1;_domain_1
:Mainly_Alpha	:Orthogonal_Bundle	:Farnesyl_Diphosphate_Synthase
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Alpha_Beta	:Roll	:Thiol_Ester_Dehydrase;_Chain_A
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:Roll	:Nuclear_Transport_Factor_2;_Chain:_A,
:Alpha_Beta	:2-Layer_Sandwich	:N_Utilization_Substance_Protein_A;_Chain:P;_domain_4
:Mainly_Alpha	:Orthogonal_Bundle	:Transferase(Phosphotransferase);_domain_1
:Alpha_Beta	:Alpha-Beta_Complex	:Cathepsin_B;_Chain_A
:Alpha_Beta	:2-Layer_Sandwich	:GMP_Synthetase;_Chain_A,_domain_3
:Mainly_Alpha	:Orthogonal_Bundle	:Glutamyl-tRNA_Synthetase;_domain_2
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Mainly_Beta	:Distorted_Sandwich	:Beta-galactosidase;_Chain_A,_domain_5
:Mainly_Alpha	:Orthogonal_Bundle	:Transferase(Phosphotransferase);_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Peroxisomal_Thiolase;_Chain_A,_domain_1
:Mainly_Beta	:Sandwich	:lipopolysaccharide_transport_protein_A_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Few_Secondary_Structures	:Irregular	:DNA_Excision_Repair,_Uvrb;_Chain_A
:Mainly_Beta	:Sandwich	:Jelly_Rolls
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:Roll	:Ubiquitin_Conjugating_Enzyme
:Mainly_Beta	:3_Solenoid	:Pectate_Lyase_C-like
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Mainly_Alpha	:Orthogonal_Bundle	:Phosphatidylinositol_3-kinase;_Chain_A
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Aspartate_Aminotransferase;_domain_2
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:Alpha-Beta_Complex	:Sulfite_Oxidase;_Chain_A,_domain_2
:Mainly_Beta	:Beta_Complex	:RNA_Polymerase_Alpha_Subunit;_Chain_A,_domain_2
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Glutaredoxin
:Alpha_Beta	:2-Layer_Sandwich	:Enolase-like;_domain_1
:Alpha_Beta	:2-Layer_Sandwich	:uncharacterized_conserved_protein_from_methanopyrus_kandleri_fold_like
:Mainly_Alpha	:Orthogonal_Bundle	:Beta-cryptogein
:Alpha_Beta	:2-Layer_Sandwich	:MS2_Viral_Coat_Protein
:Alpha_Beta	:Alpha-Beta_Horseshoe	:Leucine-rich_repeat,_LRR_(right-handed_beta-alpha_superhelix)
:Alpha_Beta	:2-Layer_Sandwich	:D-amino_Acid_Aminotransferase;_Chain_A,_domain_1
:Alpha_Beta	:2-Layer_Sandwich	:Herpes_Virus-1
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Mainly_Alpha	:Orthogonal_Bundle	:Cytochrome_p450
:Mainly_Alpha	:Alpha_Horseshoe	:Serine_Threonine_Protein_Phosphatase_5,_Tetratricopeptide_repeat
:Mainly_Alpha	:Orthogonal_Bundle	:Neutral_Protease;_domain_2
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Aminopeptidase
:Mainly_Beta	:Roll	:SH3_type_barrels.
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Arginase;_Chain_A
:Alpha_Beta	:4-Layer_Sandwich	:Purple_Acid_Phosphatase;_chain_A,_domain_2
:Mainly_Beta	:Sandwich	:Jelly_Rolls
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Up-down_Bundle	:Glutathione_S-transferase_Yfyf_(Class_Pi);_Chain_A,_domain_2
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant,_subunit_A
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Mainly_Alpha	:Orthogonal_Bundle	:Helix_Hairpins
